step_size,                  x,              v_num,            u_exact,               time,
0.001001,            0.159159,            0.645013,            0.638274,             11081.4,

0.001001,             0.16016,            0.646031,             0.63928,             11081.4,

0.001001,            0.161161,             0.64703,            0.640267,             11081.4,

0.001001,            0.162162,            0.648009,            0.641234,             11081.4,

0.001001,            0.163163,            0.648968,            0.642181,             11081.4,

0.001001,            0.164164,            0.649907,            0.643109,             11081.4,

0.001001,            0.165165,            0.650827,            0.644018,             11081.4,

0.001001,            0.166166,            0.651727,            0.644908,             11081.4,

0.001001,            0.167167,            0.652609,            0.645779,             11081.4,

0.001001,            0.168168,            0.653472,            0.646631,             11081.4,

0.001001,            0.169169,            0.654316,            0.647465,             11081.4,

0.001001,             0.17017,            0.655142,             0.64828,             11081.4,

0.001001,            0.171171,            0.655949,            0.649078,             11081.4,

0.001001,            0.172172,            0.656739,            0.649857,             11081.4,

0.001001,            0.173173,             0.65751,            0.650619,             11081.4,

0.001001,            0.174174,            0.658264,            0.651363,             11081.4,

0.001001,            0.175175,               0.659,             0.65209,             11081.4,

0.001001,            0.176176,            0.659719,            0.652799,             11081.4,

0.001001,            0.177177,             0.66042,            0.653492,             11081.4,

0.001001,            0.178178,            0.661105,            0.654168,             11081.4,

0.001001,            0.179179,            0.661772,            0.654827,             11081.4,

0.001001,             0.18018,            0.662423,            0.655469,             11081.4,

0.001001,            0.181181,            0.663058,            0.656095,             11081.4,

0.001001,            0.182182,            0.663676,            0.656705,             11081.4,

0.001001,            0.183183,            0.664278,            0.657299,             11081.4,

0.001001,            0.184184,            0.664863,            0.657877,             11081.4,

0.001001,            0.185185,            0.665433,            0.658439,             11081.4,

0.001001,            0.186186,            0.665987,            0.658986,             11081.4,

0.001001,            0.187187,            0.666526,            0.659517,             11081.4,

0.001001,            0.188188,            0.667049,            0.660033,             11081.4,

0.001001,            0.189189,            0.667557,            0.660534,             11081.4,

0.001001,             0.19019,             0.66805,             0.66102,             11081.4,

0.001001,            0.191191,            0.668528,            0.661491,             11081.4,

0.001001,            0.192192,            0.668991,            0.661948,             11081.4,

0.001001,            0.193193,            0.669439,            0.662389,             11081.4,

0.001001,            0.194194,            0.669873,            0.662817,             11081.4,

0.001001,            0.195195,            0.670293,             0.66323,             11081.4,

0.001001,            0.196196,            0.670698,             0.66363,             11081.4,

