step_size,                  x,              v_num,            u_exact,               time,
0.001001,            0.105105,            0.553531,             0.54781,             8.87463,

0.001001,            0.106106,            0.556004,            0.550256,             8.87463,

0.001001,            0.107107,            0.558442,            0.552668,             8.87463,

0.001001,            0.108108,            0.560845,            0.555046,             8.87463,

0.001001,            0.109109,            0.563215,             0.55739,             8.87463,

0.001001,             0.11011,            0.565551,            0.559701,             8.87463,

0.001001,            0.111111,            0.567854,            0.561979,             8.87463,

0.001001,            0.112112,            0.570124,            0.564224,             8.87463,

0.001001,            0.113113,            0.572361,            0.566437,             8.87463,

0.001001,            0.114114,            0.574565,            0.568618,             8.87463,

0.001001,            0.115115,            0.576738,            0.570767,             8.87463,

0.001001,            0.116116,            0.578879,            0.572885,             8.87463,

0.001001,            0.117117,            0.580989,            0.574971,             8.87463,

0.001001,            0.118118,            0.583068,            0.577027,             8.87463,

0.001001,            0.119119,            0.585116,            0.579053,             8.87463,

0.001001,             0.12012,            0.587133,            0.581048,             8.87463,

0.001001,            0.121121,             0.58912,            0.583014,             8.87463,

0.001001,            0.122122,            0.591078,             0.58495,             8.87463,

0.001001,            0.123123,            0.593006,            0.586856,             8.87463,

0.001001,            0.124124,            0.594904,            0.588734,             8.87463,

0.001001,            0.125125,            0.596774,            0.590583,             8.87463,

0.001001,            0.126126,            0.598615,            0.592404,             8.87463,

0.001001,            0.127127,            0.600428,            0.594196,             8.87463,

0.001001,            0.128128,            0.602212,            0.595961,             8.87463,

0.001001,            0.129129,            0.603969,            0.597698,             8.87463,

0.001001,             0.13013,            0.605698,            0.599408,             8.87463,

0.001001,            0.131131,              0.6074,            0.601091,             8.87463,

0.001001,            0.132132,            0.609075,            0.602748,             8.87463,

0.001001,            0.133133,            0.610723,            0.604377,             8.87463,

0.001001,            0.134134,            0.612345,            0.605981,             8.87463,

0.001001,            0.135135,             0.61394,            0.607558,             8.87463,

0.001001,            0.136136,             0.61551,             0.60911,             8.87463,

0.001001,            0.137137,            0.617054,            0.610637,             8.87463,

0.001001,            0.138138,            0.618572,            0.612138,             8.87463,

0.001001,            0.139139,            0.620065,            0.613615,             8.87463,

0.001001,             0.14014,            0.621534,            0.615066,             8.87463,

0.001001,            0.141141,            0.622977,            0.616494,             8.87463,

0.001001,            0.142142,            0.624396,            0.617897,             8.87463,

0.001001,            0.143143,            0.625792,            0.619276,             8.87463,

0.001001,            0.144144,            0.627163,            0.620631,             8.87463,

0.001001,            0.145145,             0.62851,            0.621963,             8.87463,

0.001001,            0.146146,            0.629834,            0.623272,             8.87463,

0.001001,            0.147147,            0.631135,            0.624558,             8.87463,

0.001001,            0.148148,            0.632412,            0.625821,             8.87463,

0.001001,            0.149149,            0.633667,            0.627061,             8.87463,

0.001001,             0.15015,              0.6349,            0.628279,             8.87463,

0.001001,            0.151151,             0.63611,            0.629475,             8.87463,

0.001001,            0.152152,            0.637298,             0.63065,             8.87463,

0.001001,            0.153153,            0.638464,            0.631802,             8.87463,

0.001001,            0.154154,            0.639608,            0.632933,             8.87463,

0.001001,            0.155155,            0.640731,            0.634043,             8.87463,

0.001001,            0.156156,            0.641833,            0.635131,             8.87463,

0.001001,            0.157157,            0.642913,            0.636199,             8.87463,

0.001001,            0.158158,            0.643973,            0.637247,             8.87463,

0.001001,            0.159159,            0.645013,            0.638274,             8.87463,

0.001001,             0.16016,            0.646031,             0.63928,             8.87463,

0.001001,            0.161161,             0.64703,            0.640267,             8.87463,

0.001001,            0.162162,            0.648009,            0.641234,             8.87463,

0.001001,            0.163163,            0.648968,            0.642181,             8.87463,

0.001001,            0.164164,            0.649907,            0.643109,             8.87463,

0.001001,            0.165165,            0.650827,            0.644018,             8.87463,

0.001001,            0.166166,            0.651727,            0.644908,             8.87463,

0.001001,            0.167167,            0.652609,            0.645779,             8.87463,

0.001001,            0.168168,            0.653472,            0.646631,             8.87463,

0.001001,            0.169169,            0.654316,            0.647465,             8.87463,

0.001001,             0.17017,            0.655142,             0.64828,             8.87463,

0.001001,            0.171171,            0.655949,            0.649078,             8.87463,

0.001001,            0.172172,            0.656739,            0.649857,             8.87463,

0.001001,            0.173173,             0.65751,            0.650619,             8.87463,

0.001001,            0.174174,            0.658264,            0.651363,             8.87463,

0.001001,            0.175175,               0.659,             0.65209,             8.87463,

0.001001,            0.176176,            0.659719,            0.652799,             8.87463,

0.001001,            0.177177,             0.66042,            0.653492,             8.87463,

0.001001,            0.178178,            0.661105,            0.654168,             8.87463,

0.001001,            0.179179,            0.661772,            0.654827,             8.87463,

0.001001,             0.18018,            0.662423,            0.655469,             8.87463,

0.001001,            0.181181,            0.663058,            0.656095,             8.87463,

0.001001,            0.182182,            0.663676,            0.656705,             8.87463,

0.001001,            0.183183,            0.664278,            0.657299,             8.87463,

0.001001,            0.184184,            0.664863,            0.657877,             8.87463,

0.001001,            0.185185,            0.665433,            0.658439,             8.87463,

0.001001,            0.186186,            0.665987,            0.658986,             8.87463,

0.001001,            0.187187,            0.666526,            0.659517,             8.87463,

0.001001,            0.188188,            0.667049,            0.660033,             8.87463,

0.001001,            0.189189,            0.667557,            0.660534,             8.87463,

0.001001,             0.19019,             0.66805,             0.66102,             8.87463,

0.001001,            0.191191,            0.668528,            0.661491,             8.87463,

0.001001,            0.192192,            0.668991,            0.661948,             8.87463,

0.001001,            0.193193,            0.669439,            0.662389,             8.87463,

0.001001,            0.194194,            0.669873,            0.662817,             8.87463,

0.001001,            0.195195,            0.670293,             0.66323,             8.87463,

0.001001,            0.196196,            0.670698,             0.66363,             8.87463,

0.001001,            0.197197,            0.671089,            0.664015,             8.87463,

0.001001,            0.198198,            0.671467,            0.664386,             8.87463,

0.001001,            0.199199,             0.67183,            0.664744,             8.87463,

0.001001,              0.2002,             0.67218,            0.665089,             8.87463,

0.001001,            0.201201,            0.672516,            0.665419,             8.87463,

0.001001,            0.202202,            0.672839,            0.665737,             8.87463,

0.001001,            0.203203,            0.673148,            0.666042,             8.87463,

0.001001,            0.204204,            0.673445,            0.666333,             8.87463,

0.001001,            0.205205,            0.673728,            0.666612,             8.87463,

0.001001,            0.206206,            0.673999,            0.666878,             8.87463,

0.001001,            0.207207,            0.674257,            0.667131,             8.87463,

0.001001,            0.208208,            0.674502,            0.667372,             8.87463,

0.001001,            0.209209,            0.674735,              0.6676,             8.87463,

0.001001,             0.21021,            0.674955,            0.667816,             8.87463,

0.001001,            0.211211,            0.675163,             0.66802,             8.87463,

0.001001,            0.212212,            0.675359,            0.668212,             8.87463,

0.001001,            0.213213,            0.675543,            0.668392,             8.87463,

0.001001,            0.214214,            0.675715,            0.668561,             8.87463,

0.001001,            0.215215,            0.675876,            0.668718,             8.87463,

0.001001,            0.216216,            0.676024,            0.668863,             8.87463,

0.001001,            0.217217,            0.676161,            0.668997,             8.87463,

0.001001,            0.218218,            0.676287,            0.669119,             8.87463,

0.001001,            0.219219,            0.676402,             0.66923,             8.87463,

0.001001,             0.22022,            0.676505,            0.669331,             8.87463,

0.001001,            0.221221,            0.676597,             0.66942,             8.87463,

0.001001,            0.222222,            0.676678,            0.669498,             8.87463,

0.001001,            0.223223,            0.676749,            0.669566,             8.87463,

0.001001,            0.224224,            0.676808,            0.669623,             8.87463,

0.001001,            0.225225,            0.676857,            0.669669,             8.87463,

0.001001,            0.226226,            0.676896,            0.669705,             8.87463,

0.001001,            0.227227,            0.676923,            0.669731,             8.87463,

0.001001,            0.228228,            0.676941,            0.669747,             8.87463,

0.001001,            0.229229,            0.676949,            0.669752,             8.87463,

0.001001,             0.23023,            0.676946,            0.669747,             8.87463,

0.001001,            0.231231,            0.676933,            0.669733,             8.87463,

0.001001,            0.232232,            0.676911,            0.669708,             8.87463,

0.001001,            0.233233,            0.676878,            0.669674,             8.87463,

0.001001,            0.234234,            0.676836,             0.66963,             8.87463,

0.001001,            0.235235,            0.676784,            0.669577,             8.87463,

0.001001,            0.236236,            0.676723,            0.669514,             8.87463,

0.001001,            0.237237,            0.676652,            0.669442,             8.87463,

0.001001,            0.238238,            0.676572,            0.669361,             8.87463,

0.001001,            0.239239,            0.676482,             0.66927,             8.87463,

0.001001,             0.24024,            0.676384,            0.669171,             8.87463,

0.001001,            0.241241,            0.676276,            0.669062,             8.87463,

0.001001,            0.242242,             0.67616,            0.668945,             8.87463,

0.001001,            0.243243,            0.676034,            0.668819,             8.87463,

0.001001,            0.244244,              0.6759,            0.668684,             8.87463,

0.001001,            0.245245,            0.675757,             0.66854,             8.87463,

0.001001,            0.246246,            0.675605,            0.668388,             8.87463,

0.001001,            0.247247,            0.675445,            0.668227,             8.87463,

0.001001,            0.248248,            0.675276,            0.668058,             8.87463,

0.001001,            0.249249,            0.675099,            0.667881,             8.87463,

0.001001,             0.25025,            0.674914,            0.667696,             8.87463,

0.001001,            0.251251,            0.674721,            0.667502,             8.87463,

0.001001,            0.252252,            0.674519,            0.667301,             8.87463,

0.001001,            0.253253,             0.67431,            0.667091,             8.87463,

0.001001,            0.254254,            0.674092,            0.666874,             8.87463,

0.001001,            0.255255,            0.673866,            0.666648,             8.87463,

0.001001,            0.256256,            0.673633,            0.666416,             8.87463,

0.001001,            0.257257,            0.673392,            0.666175,             8.87463,

0.001001,            0.258258,            0.673143,            0.665927,             8.87463,

0.001001,            0.259259,            0.672887,            0.665671,             8.87463,

0.001001,             0.26026,            0.672623,            0.665408,             8.87463,

0.001001,            0.261261,            0.672352,            0.665137,             8.87463,

0.001001,            0.262262,            0.672074,             0.66486,             8.87463,

0.001001,            0.263263,            0.671788,            0.664575,             8.87463,

0.001001,            0.264264,            0.671495,            0.664283,             8.87463,

0.001001,            0.265265,            0.671195,            0.663984,             8.87463,

0.001001,            0.266266,            0.670888,            0.663677,             8.87463,

0.001001,            0.267267,            0.670574,            0.663364,             8.87463,

0.001001,            0.268268,            0.670253,            0.663045,             8.87463,

0.001001,            0.269269,            0.669925,            0.662718,             8.87463,

0.001001,             0.27027,             0.66959,            0.662384,             8.87463,

0.001001,            0.271271,            0.669248,            0.662044,             8.87463,

0.001001,            0.272272,              0.6689,            0.661698,             8.87463,

0.001001,            0.273273,            0.668546,            0.661345,             8.87463,

0.001001,            0.274274,            0.668184,            0.660985,             8.87463,

0.001001,            0.275275,            0.667817,            0.660619,             8.87463,

0.001001,            0.276276,            0.667443,            0.660247,             8.87463,

0.001001,            0.277277,            0.667062,            0.659868,             8.87463,

0.001001,            0.278278,            0.666676,            0.659483,             8.87463,

0.001001,            0.279279,            0.666283,            0.659093,             8.87463,

0.001001,             0.28028,            0.665884,            0.658696,             8.87463,

0.001001,            0.281281,            0.665479,            0.658293,             8.87463,

0.001001,            0.282282,            0.665068,            0.657884,             8.87463,

0.001001,            0.283283,            0.664651,            0.657469,             8.87463,

0.001001,            0.284284,            0.664228,            0.657048,             8.87463,

0.001001,            0.285285,            0.663799,            0.656622,             8.87463,

0.001001,            0.286286,            0.663365,            0.656189,             8.87463,

0.001001,            0.287287,            0.662925,            0.655752,             8.87463,

0.001001,            0.288288,            0.662479,            0.655308,             8.87463,

0.001001,            0.289289,            0.662027,            0.654859,             8.87463,

0.001001,             0.29029,             0.66157,            0.654405,             8.87463,

0.001001,            0.291291,            0.661108,            0.653945,             8.87463,

0.001001,            0.292292,             0.66064,            0.653479,             8.87463,

0.001001,            0.293293,            0.660166,            0.653009,             8.87463,

0.001001,            0.294294,            0.659688,            0.652533,             8.87463,

0.001001,            0.295295,            0.659204,            0.652052,             8.87463,

0.001001,            0.296296,            0.658714,            0.651565,             8.87463,

0.001001,            0.297297,             0.65822,            0.651074,             8.87463,

0.001001,            0.298298,             0.65772,            0.650577,             8.87463,

0.001001,            0.299299,            0.657216,            0.650076,             8.87463,

0.001001,              0.3003,            0.656706,            0.649569,             8.87463,

0.001001,            0.301301,            0.656192,            0.649058,             8.87463,

0.001001,            0.302302,            0.655672,            0.648541,             8.87463,

